기간	자치구	동	합계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	합계	합계	5,698	1,661	28	101	1,512	2,098	33	265
2019	종로구	소계	77	34	2	3	8	4	-	26
2019	종로구	사직동	10	1	-	-	1	-	-	8
2019	종로구	삼청동	2	1	1	-	-	-	-	-
2019	종로구	부암동	3	2	-	-	-	-	-	1
2019	종로구	평창동	3	1	-	-	1	1	-	-
2019	종로구	무악동	4	3	-	-	-	1	-	-
2019	종로구	교남동	5	4	-	-	1	-	-	-
2019	종로구	가회동	5	1	-	-	2	-	-	2
2019	종로구	종로1.2.3.4가동	10	1	-	2	-	-	-	7
2019	종로구	종로5·6가동	5	-	-	-	2	-	-	3
2019	종로구	이화동	4	2	-	-	-	-	-	2
2019	종로구	창신1동	4	2	1	-	-	1	-	-
2019	종로구	창신2동	5	4	-	1	-	-	-	-
2019	종로구	창신3동	2	2	-	-	-	-	-	-
2019	종로구	숭인1동	2	2	-	-	-	-	-	-
2019	종로구	숭인2동	4	2	-	-	-	1	-	1
2019	종로구	청운효자동	5	3	-	-	-	-	-	2
2019	종로구	혜화동	4	3	-	-	1	-	-	-
2019	중구	소계	69	24	-	7	6	11	-	21
2019	중구	소공동	4	-	-	-	-	-	-	4
2019	중구	회현동	6	1	-	-	-	-	-	5
2019	중구	명동	10	-	-	-	-	-	-	10
2019	중구	필동	1	1	-	-	-	-	-	-
2019	중구	장충동	2	1	-	1	-	-	-	-
2019	중구	광희동	2	1	-	-	-	-	-	1
2019	중구	을지로동	3	1	-	1	-	-	-	1
2019	중구	신당5동	4	2	-	1	1	-	-	-
2019	중구	황학동	7	4	-	-	1	2	-	-
2019	중구	중림동	7	3	-	1	-	3	-	-
2019	중구	신당동	2	1	-	-	1	-	-	-
2019	중구	다산동	4	1	-	1	1	1	-	-
2019	중구	약수동	8	3	-	2	1	2	-	-
2019	중구	청구동	4	2	-	-	-	2	-	-
2019	중구	동화동	5	3	-	-	1	1	-	-
2019	용산구	소계	119	31	2	8	20	47	1	10
2019	용산구	후암동	13	2	1	2	2	6	-	-
2019	용산구	용산2가동	3	2	-	-	1	-	-	-
2019	용산구	남영동	3	1	1	-	-	-	-	1
2019	용산구	원효로2동	9	3	-	1	-	5	-	-
2019	용산구	효창동	8	2	-	1	3	2	-	-
2019	용산구	용문동	9	2	-	1	2	4	-	-
2019	용산구	이촌1동	15	1	-	-	2	12	-	-
2019	용산구	이촌2동	5	3	-	-	-	2	-	-
2019	용산구	이태원1동	5	-	-	1	1	2	-	1
2019	용산구	이태원2동	2	2	-	-	-	-	-	-
2019	용산구	서빙고동	7	2	-	-	1	4	-	-
2019	용산구	보광동	5	2	-	-	1	2	-	-
2019	용산구	청파동	10	2	-	1	4	2	-	1
2019	용산구	원효로1동	10	3	-	1	2	3	1	-
2019	용산구	한강로동	7	2	-	-	-	1	-	4
2019	용산구	한남동	8	2	-	-	1	2	-	3
2019	성동구	소계	179	78	-	3	30	61	-	7
2019	성동구	왕십리2동	11	6	-	-	2	3	-	-
2019	성동구	마장동	15	6	-	-	2	7	-	-
2019	성동구	사근동	3	2	-	-	-	-	-	1
2019	성동구	행당1동	9	4	-	-	1	3	-	1
2019	성동구	행당2동	16	3	-	-	2	11	-	-
2019	성동구	응봉동	7	3	-	1	-	3	-	-
2019	성동구	금호1가동	13	5	-	1	1	6	-	-
2019	성동구	금호4가동	11	3	-	-	2	6	-	-
2019	성동구	성수1가1동	7	4	-	1	2	-	-	-
2019	성동구	성수1가2동	7	3	-	-	2	2	-	-
