기간	자치구	행정동	출생	출생	출생	사망	사망	사망
기간	자치구	행정동	계	남자	여자	계	남자	여자
2019	합계	합계	53,673	27,811	25,862	43,829	24,859	18,970
2019	종로구	소계	673	334	339	854	482	372
2019	종로구	사직동	41	20	21	59	28	31
2019	종로구	삼청동	10	5	5	15	10	5
2019	종로구	부암동	48	27	21	62	33	29
2019	종로구	평창동	80	43	37	102	41	61
2019	종로구	무악동	44	23	21	33	17	16
2019	종로구	교남동	109	50	59	52	31	21
2019	종로구	가회동	11	5	6	29	9	20
2019	종로구	종로1.2.3.4가동	18	10	8	77	58	19
2019	종로구	종로5·6가동	10	6	4	40	23	17
2019	종로구	이화동	31	11	20	44	26	18
2019	종로구	창신1동	16	10	6	30	21	9
2019	종로구	창신2동	20	10	10	45	36	9
2019	종로구	창신3동	57	29	28	37	23	14
2019	종로구	숭인1동	18	8	10	48	21	27
2019	종로구	숭인2동	32	20	12	52	32	20
2019	종로구	청운효자동	74	36	38	63	39	24
2019	종로구	혜화동	54	21	33	66	34	32
2019	종로구	미상	-	-	-	…	…	…
2019	중구	소계	783	426	357	665	408	257
2019	중구	소공동	17	12	5	10	9	1
2019	중구	회현동	26	14	12	38	30	8
2019	중구	명동	9	4	5	6	4	2
2019	중구	필동	15	8	7	22	16	6
2019	중구	장충동	12	10	2	24	12	12
2019	중구	광희동	18	10	8	37	23	14
2019	중구	을지로동	7	5	2	14	10	4
2019	중구	신당5동	71	42	29	47	37	10
2019	중구	황학동	107	52	55	59	37	22
2019	중구	중림동	122	57	65	67	40	27
2019	중구	신당동	39	19	20	31	14	17
2019	중구	다산동	80	44	36	77	48	29
2019	중구	약수동	106	54	52	100	57	43
2019	중구	청구동	93	55	38	94	49	45
2019	중구	동화동	61	40	21	39	22	17
2019	중구	미상	-	-	-	…	…	…
2019	용산구	소계	1,314	684	630	1,107	620	487
2019	용산구	후암동	98	47	51	94	53	41
2019	용산구	용산2가동	53	25	28	63	34	29
2019	용산구	남영동	16	7	9	94	78	16
2019	용산구	원효로2동	93	53	40	60	29	31
2019	용산구	효창동	80	42	38	46	22	24
2019	용산구	용문동	78	41	37	53	27	26
2019	용산구	이촌1동	186	106	80	115	57	58
2019	용산구	이촌2동	64	28	36	44	22	22
2019	용산구	이태원1동	27	12	15	36	13	23
2019	용산구	이태원2동	47	22	25	50	27	23
2019	용산구	서빙고동	44	24	20	73	36	37
2019	용산구	보광동	41	19	22	73	42	31
2019	용산구	청파동	79	37	42	80	50	30
2019	용산구	원효로1동	167	90	77	59	40	19
2019	용산구	한강로동	130	62	68	77	39	38
2019	용산구	한남동	111	69	42	90	51	39
2019	용산구	미상	-	-	-	…	…	…
2019	성동구	소계	2,191	1,120	1,071	1,369	786	583
2019	성동구	왕십리2동	128	71	57	69	35	34
2019	성동구	마장동	118	56	62	120	66	54
2019	성동구	사근동	48	26	22	38	22	16
2019	성동구	행당1동	99	46	53	70	41	29
2019	성동구	행당2동	182	95	87	91	56	35
